,year,country_id,country_txt_wb,country_txt_gtd,country_code,region,region_txt,arrivals,population,tourism_rank_2012,tourism_group,incident_id,nkill,nkillus,nkillte,nwound,nwoundus,nwoundte,nvictim,nvictimus,nvictimte,event_ct_total
35,2012,6,Algeria,Algeria,DZA,10.0,Middle East & North Africa,2634000,37383887,65,,201205080012.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2
36,2012,69,France,France,FRA,8.0,Western Europe,81980000,65659809,1,high,201205110038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
37,2012,93,Indonesia,Indonesia,IDN,5.0,Southeast Asia,8044000,248452413,33,,201205170027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
38,2012,45,Colombia,Colombia,COL,3.0,South America,2179000,46076848,74,,201205250018.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1
39,2012,45,Colombia,Colombia,COL,3.0,South America,2179000,46076848,74,,201205250017.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,1
40,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201205260022.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2
41,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201206080024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
42,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201206110042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
43,2012,167,Russian Federation,Russia,RUS,9.0,Eastern Europe,28177000,143201721,9,high,201206290025.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
44,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201207040028.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1
45,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201207040031.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,1
46,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201207130007.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6
47,2012,167,Russian Federation,Russia,RUS,9.0,Eastern Europe,28177000,143201721,9,high,201207190007.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
48,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201207230060.0,2.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,1
49,2012,45,Colombia,Colombia,COL,3.0,South America,2179000,46076848,74,,201207240031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
50,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201208010003.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4
51,2012,160,Philippines,Philippines,PHL,5.0,Southeast Asia,4273000,97212638,52,,201208050012.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
52,2012,99,Cote d'Ivoire,Ivory Coast,CIV,11.0,Sub-Saharan Africa,289000,21547188,123,,201208050036.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
53,2012,60,"Egypt, Arab Rep.",Egypt,EGY,10.0,Middle East & North Africa,11196000,86422240,22,,201208070022.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,5
54,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201208090008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55,2012,160,Philippines,Philippines,PHL,5.0,Southeast Asia,4273000,97212638,52,,201208090035.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1
56,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201208140005.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
57,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201208150040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
58,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201208150041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
59,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201208150006.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1
60,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201208150045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
61,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201208150047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
62,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201208150049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
63,2012,167,Russian Federation,Russia,RUS,9.0,Eastern Europe,28177000,143201721,9,high,201208180005.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,2
64,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201208210015.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3
65,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201208230004.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,1
66,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201208240020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
67,2012,167,Russian Federation,Russia,RUS,9.0,Eastern Europe,28177000,143201721,9,high,201208270001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
68,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201208310005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
69,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201209020002.0,40.0,0.0,20.0,7.0,0.0,0.0,47.0,0.0,20.0,4
70,2012,69,France,France,FRA,8.0,Western Europe,81980000,65659809,1,high,201209100017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
71,2012,69,France,France,FRA,8.0,Western Europe,81980000,65659809,1,high,201209100019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
72,2012,69,France,France,FRA,8.0,Western Europe,81980000,65659809,1,high,201209100018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
73,2012,69,France,France,FRA,8.0,Western Europe,81980000,65659809,1,high,201209100020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
74,2012,69,France,France,FRA,8.0,Western Europe,81980000,65659809,1,high,201209100012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
75,2012,208,Tunisia,Tunisia,TUN,10.0,Middle East & North Africa,6999000,10847002,39,,201209140016.0,4.0,0.0,0.0,46.0,0.0,0.0,50.0,0.0,0.0,2
76,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201209210002.0,6.0,0.0,0.0,40.0,0.0,0.0,46.0,0.0,0.0,1
77,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201210070002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
78,2012,195,Sudan,Sudan,SDN,11.0,Sub-Saharan Africa,575000,36193783,111,,201210080029.0,7.0,0.0,0.0,18.0,0.0,0.0,25.0,0.0,0.0,5
79,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201210090012.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1
80,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201210090059.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,7
81,2012,93,Indonesia,Indonesia,IDN,5.0,Southeast Asia,8044000,248452413,33,,201210090014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
82,2012,93,Indonesia,Indonesia,IDN,5.0,Southeast Asia,8044000,248452413,33,,201210090015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
83,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201210100014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
