year_gtd,country_gtd,incident_ct_total,nkill_total,nkillus_total,nkillter_total,nwound_total,nwoundus_total,nwoundte_total
2014,60,24,30.0,0.0,4.0,143.0,0.0,0.0
2014,69,3,0.0,0.0,0.0,0.0,0.0,0.0
2014,92,58,61.0,0.0,0.0,78.0,0.0,0.0
2014,93,1,0.0,0.0,0.0,7.0,0.0,0.0
2014,95,249,2887.0,0.0,83.0,3121.0,0.0,10.0
2014,96,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,97,14,0.0,0.0,0.0,4.0,0.0,0.0
2014,104,13,84.0,0.0,0.0,154.0,0.0,0.0
2014,110,26,15.0,0.0,2.0,140.0,0.0,0.0
2014,113,32,72.0,0.0,1.0,88.0,0.0,0.0
2014,122,2,0.0,0.0,0.0,0.0,0.0,0.0
2014,123,3,2.0,0.0,0.0,0.0,0.0,0.0
2014,137,3,0.0,0.0,0.0,9.0,0.0,0.0
2014,138,2,0.0,0.0,0.0,2.0,0.0,0.0
2014,145,2,5.0,0.0,0.0,28.0,0.0,0.0
2014,146,2,11.0,0.0,2.0,6.0,0.0,0.0
2014,147,220,2740.0,0.0,376.0,671.0,0.0,0.0
2014,153,87,113.0,0.0,3.0,199.0,0.0,0.0
2014,155,7,19.0,0.0,0.0,3.0,0.0,0.0
2014,158,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,160,18,22.0,0.0,17.0,51.0,0.0,0.0
2014,167,4,28.0,0.0,11.0,41.0,0.0,0.0
2014,182,23,62.0,0.0,7.0,119.0,0.0,0.0
2014,183,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,186,9,3.0,0.0,0.0,51.0,0.0,0.0
2014,195,39,168.0,0.0,50.0,28.0,0.0,0.0
2014,198,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,200,35,459.0,0.0,53.0,401.0,0.0,11.0
2014,203,1,0.0,0.0,0.0,0.0,0.0,0.0
2014,205,53,19.0,0.0,3.0,197.0,0.0,0.0
2014,209,5,0.0,0.0,0.0,1.0,0.0,0.0
2014,213,3,96.0,0.0,75.0,15.0,0.0,0.0
2014,214,34,47.0,0.0,2.0,43.0,0.0,0.0
2014,215,1,1.0,1.0,0.0,0.0,0.0,0.0
2014,217,3,11.0,11.0,2.0,13.0,0.0,0.0
2014,228,38,147.0,0.0,46.0,95.0,0.0,14.0
2014,229,23,99.0,0.0,0.0,27.0,0.0,0.0
2014,603,4,0.0,0.0,0.0,0.0,0.0,0.0
2014,1004,6,373.0,0.0,0.0,405.0,0.0,0.0
2015,4,151,1215.0,0.0,704.0,975.0,0.0,283.0
2015,14,3,0.0,0.0,0.0,0.0,0.0,0.0
2015,18,2,0.0,0.0,0.0,0.0,0.0,0.0
2015,19,10,1.0,0.0,0.0,22.0,0.0,0.0
2015,34,8,19.0,0.0,2.0,64.0,0.0,0.0
2015,37,19,126.0,0.0,14.0,194.0,0.0,0.0
2015,41,2,6.0,0.0,0.0,23.0,0.0,0.0
2015,42,8,117.0,0.0,31.0,308.0,0.0,0.0
2015,45,7,0.0,0.0,0.0,10.0,0.0,0.0
2015,55,1,2.0,0.0,0.0,5.0,0.0,0.0
2015,60,40,197.0,0.0,118.0,189.0,0.0,1.0
2015,69,5,144.0,1.0,10.0,418.0,0.0,0.0
2015,75,1,0.0,0.0,0.0,0.0,0.0,0.0
2015,78,1,0.0,0.0,0.0,0.0,0.0,0.0
2015,92,50,20.0,0.0,3.0,29.0,0.0,0.0
2015,93,4,2.0,0.0,2.0,14.0,0.0,13.0
2015,95,126,765.0,0.0,181.0,1164.0,0.0,21.0
2015,97,1,0.0,0.0,0.0,0.0,0.0,0.0
2015,102,1,1.0,0.0,0.0,4.0,0.0,0.0
2015,104,7,17.0,0.0,2.0,5.0,0.0,0.0
